Frame,Angle (rad)
0.0,-2.791911122802327
1.0,0.6080474730854476
2.0,-0.995839455140476
3.0,0.538069695846983
4.0,0.2960395465957455
5.0,0.26790249553198286
6.0,0.2618295734812348
7.0,0.1494061462208025
8.0,-0.9867785452546632
9.0,-1.0356335718363678
10.0,-2.9950701427421587
11.0,3.0422660761020897
12.0,-3.118045296164895
13.0,3.0719003038029267
14.0,3.082059768406137
15.0,3.113250737534824
16.0,-3.0710235639249905
17.0,3.1131079696105464
18.0,-3.122572174480505
19.0,-3.120010285992413
20.0,3.065563513973939
21.0,3.0726676315180192
22.0,3.1063874464782906
23.0,-3.095054567070343
24.0,3.1100442054095083
25.0,3.0292700101437053
26.0,3.0072940158775223
27.0,2.9151247634958857
28.0,2.916449297962634
29.0,2.877984999614765
30.0,2.9030501124381374
31.0,2.9644414424859336
32.0,2.9059072671938604
33.0,2.91266661400903
34.0,2.991019487181648
35.0,3.048997101526415
36.0,3.11918614077731
37.0,-3.0644028461006902
38.0,-2.9570164102178733
39.0,-2.8713736614836702
40.0,-2.7796722013689044
41.0,-2.588667559709732
42.0,-2.5024296165741005
43.0,-2.4778625602216438
44.0,-2.4718731910314027
45.0,-2.4600932401020477
46.0,-2.4728626634459445
47.0,-2.4565204073059723
48.0,-2.3430803612107525
49.0,-2.3581859860595493
50.0,-2.4786206891915374
51.0,-2.5139716524592064
52.0,-2.6763488183341337
53.0,-2.7647684056583275
54.0,-2.866881490403617
55.0,-2.764159906345733
56.0,-2.8981716943440903
57.0,-2.8745609290939775
58.0,-2.945820990645256
59.0,-2.9488327056066357
60.0,-2.8979142922908077
61.0,-2.8535346243719952
62.0,-2.993748927618648
63.0,-3.0133351116429914
64.0,-3.124525147247173
65.0,3.0667336108464527
66.0,2.9782237480422435
67.0,2.8559966044418728
68.0,2.852800466520881
69.0,2.858747703724209
70.0,2.8081587683509346
71.0,2.789529468164238
72.0,2.7491008742910603
73.0,2.6778949345714853
74.0,2.625432969744529
75.0,2.5245381907443214
76.0,2.5488954818646175
77.0,2.530803094782406
78.0,2.493751927300762
79.0,2.5498913093445696
80.0,2.533834691469533
81.0,2.572334757259934
82.0,2.602782846872799
83.0,2.5799024239421486
84.0,2.5855412924201406
85.0,2.5665291517059488
86.0,2.6095705305374874
87.0,2.5903752138722513
88.0,2.517876051269188
89.0,2.4637264852816267
90.0,2.4898091722985862
91.0,2.5164585362742695
92.0,2.5837344946802068
93.0,2.6167459447623003
94.0,2.742740837204923
95.0,2.6433633769772147
96.0,2.5646911654859204
97.0,2.6043575338341114
98.0,2.569928011379739
99.0,2.4916080004223313
100.0,2.4895427114480726
101.0,2.4367209262036194
102.0,2.344133708000091
103.0,2.2590174671963212
104.0,2.274665329301205
105.0,2.1886682257686623
106.0,2.1763091478951617
107.0,2.286747032545781
108.0,2.4711918397153645
109.0,2.5076990893488675
110.0,2.6033683608942253
111.0,2.6778176616134552
112.0,2.7008927581345183
113.0,2.768097382434958
114.0,2.815317806466727
115.0,2.986836213733537
116.0,3.1122691749518414
117.0,-2.9618105958471985
118.0,-3.0127319716285683
119.0,-2.9795896147395826
120.0,-3.0169421578565325
121.0,-3.066560597205976
122.0,-3.0376339822090315
123.0,-2.9623460141069833
124.0,-2.84205696991682
125.0,-2.716688877045188
126.0,-2.570334546989377
127.0,-2.480605652115579
128.0,-2.250256008862056
129.0,-2.180642904479204
130.0,-2.134426994923227
131.0,-1.9917433967948266
132.0,-1.9140048362822752
133.0,-1.9757281612489945
134.0,-1.9573975060137
135.0,-1.9969295410001642
136.0,-2.101075547894934
137.0,-2.12499642481107
138.0,-2.155581037752822
139.0,-2.2547538513285756
140.0,-2.27080705098542
141.0,-2.3874033450066605
142.0,-2.478954117955687
143.0,-2.4856468548031194
144.0,-2.4791555124262326
145.0,-2.466547231147902
146.0,-2.473943718170415
147.0,-2.521119295344622
148.0,-2.5979520006177923
149.0,-2.6036655104571675
150.0,-2.5776500049963067
151.0,-2.5100401134386736
152.0,-2.5801729055238147
153.0,-2.7657753340184374
154.0,-2.8272851863892776
155.0,-2.976517018797386
156.0,3.1177330326839625
157.0,2.9798490781198774
158.0,2.9195261987116217
159.0,2.8088050998541707
160.0,2.736193696163876
161.0,2.6360939268669674
162.0,2.5345694764007933
163.0,2.427572156287293
164.0,2.476403168632336
165.0,2.5563267542494073
166.0,2.639184597458237
167.0,2.608102198952902
168.0,2.685509422773386
169.0,2.678781278085223
170.0,2.7770347963378033
171.0,2.7684082583965806
172.0,2.820935607405408
173.0,2.8115371676509726
174.0,2.9076125885894775
175.0,2.9375099798306463
176.0,2.934637264323669
177.0,3.053360752568196
178.0,-2.9990539909420804
179.0,-2.9969450101536577
180.0,-2.9429066918579325
181.0,-2.8760067308393262
182.0,-2.8659337841719124
183.0,-2.7473073615929247
184.0,-2.681697235384157
185.0,-2.5703674335521183
186.0,-2.352110182238047
187.0,-2.337067916901823
188.0,-2.370396307562082
189.0,-2.423096850163965
190.0,-2.5462621525886044
191.0,-2.568321896502364
192.0,-2.6345501176193693
193.0,-2.724061303796822
194.0,-2.7016008720405074
195.0,-2.622427344694541
196.0,-2.702493524992895
197.0,-2.7808970038637355
198.0,-2.9522584187067396
199.0,-2.9846507416837604
200.0,-3.0932243047443704
201.0,3.1006003500578494
202.0,3.014003189889828
203.0,2.9214132053335202
204.0,2.768560632958255
205.0,2.7046694467868204
206.0,2.6298797957863504
207.0,2.566399858759543
208.0,2.65896622721319
209.0,2.7316899560654986
210.0,2.7655671620572324
211.0,2.6818816752767134
212.0,2.649020815451454
213.0,2.6402612234851777
214.0,2.4923047823943136
215.0,2.4566998967646003
216.0,2.3333102738184297
217.0,2.3558607906563234
218.0,2.4240111083941
219.0,2.4361776953350063
220.0,2.5497467875648594
221.0,2.6682073134628617
222.0,2.656475416109191
223.0,2.7506381982489474
224.0,2.9400031039437646
